purchase_date;total_sales;promo_name;sales_after_promo
21/07/2022;75000;AWAL_GAJIAN;60000
21/07/2022;75000;GRATIS_ONGKIR;70000
21/07/2022;75000;10_10;67500
21/07/2022;75000;HARBOLNAS;45000
21/07/2022;75000;END_YEAR;60000
21/07/2022;75000;BERKAH_RAMADHAN;60000
21/07/2022;75000;HARI_RAYA;55000
21/07/2022;75000;TUJUHBELASAN;65000
21/07/2022;75000;VALENTINE_DAY;65000
21/07/2022;75000;EASTER_EGG;67500
21/07/2022;75000;CHRISTMAS;60000
15/07/2022;117000;AWAL_GAJIAN;102000
15/07/2022;117000;GRATIS_ONGKIR;112000
15/07/2022;117000;10_10;109500
15/07/2022;117000;HARBOLNAS;87000
15/07/2022;117000;END_YEAR;102000
15/07/2022;117000;BERKAH_RAMADHAN;102000
15/07/2022;117000;HARI_RAYA;97000
15/07/2022;117000;TUJUHBELASAN;107000
15/07/2022;117000;VALENTINE_DAY;107000
15/07/2022;117000;EASTER_EGG;109500
15/07/2022;117000;CHRISTMAS;102000
10/07/2022;440000;AWAL_GAJIAN;425000
10/07/2022;440000;GRATIS_ONGKIR;435000
10/07/2022;440000;10_10;432500
10/07/2022;440000;HARBOLNAS;410000
10/07/2022;440000;END_YEAR;425000
10/07/2022;440000;BERKAH_RAMADHAN;425000
10/07/2022;440000;HARI_RAYA;420000
10/07/2022;440000;TUJUHBELASAN;430000
10/07/2022;440000;VALENTINE_DAY;430000
10/07/2022;440000;EASTER_EGG;432500
10/07/2022;440000;CHRISTMAS;425000
09/07/2022;229000;AWAL_GAJIAN;214000
09/07/2022;229000;GRATIS_ONGKIR;224000
09/07/2022;229000;10_10;221500
09/07/2022;229000;HARBOLNAS;199000
09/07/2022;229000;END_YEAR;214000
09/07/2022;229000;BERKAH_RAMADHAN;214000
09/07/2022;229000;HARI_RAYA;209000
09/07/2022;229000;TUJUHBELASAN;219000
09/07/2022;229000;VALENTINE_DAY;219000
09/07/2022;229000;EASTER_EGG;221500
09/07/2022;229000;CHRISTMAS;214000
19/07/2022;450000;AWAL_GAJIAN;435000
19/07/2022;450000;GRATIS_ONGKIR;445000
